Period (s),CommandedVelocity (mm/s),PositionError (mm),CommandedPosition (mm),CommandedAcceleration (mm/s2)
0.130048,4.989125,0.000330,11.568725,0.000000
0.130560,4.989125,0.000330,11.571280,0.000000
0.131072,4.989125,0.000345,11.573830,0.000000
0.131584,4.989125,0.000400,11.576385,0.000000
0.132096,4.989125,0.000435,11.578940,0.000000
0.132608,4.989125,0.000450,11.581495,0.000000
0.133120,4.989125,0.000455,11.584050,0.000000
0.133632,4.989125,0.000480,11.586605,0.000000
0.134144,4.989125,0.000490,11.589160,0.000000
0.134656,4.989125,0.000495,11.591715,0.000000
0.135168,4.989125,0.000515,11.594270,0.000000
0.135680,4.989125,0.000535,11.596820,0.000000
0.136192,4.989125,0.000575,11.599375,0.000000
0.136704,4.989125,0.000535,11.601930,0.000000
0.137216,4.989125,0.000515,11.604485,0.000000
0.137728,4.989125,0.000515,11.607040,0.000000
0.138240,4.989125,0.000510,11.609595,0.000000
0.138752,4.989125,0.000505,11.612150,0.000000
0.139264,4.989125,0.000475,11.614705,0.000000
0.139776,4.989125,0.000450,11.617260,0.000000
0.140288,4.989125,0.000410,11.619810,0.000000
0.140800,4.989125,0.000350,11.622365,0.000000
0.141312,4.989125,0.000330,11.624920,0.000000
0.141824,4.989125,0.000315,11.627475,0.000000
0.142336,4.989125,0.000285,11.630030,0.000000
0.142848,4.989125,0.000230,11.632585,0.000000
0.143360,4.989125,0.000200,11.635140,0.000000
0.143872,4.989125,0.000205,11.637695,0.000000
0.144384,4.989125,0.000155,11.640250,0.000000
0.144896,4.989125,0.000125,11.642800,0.000000
0.145408,4.989125,0.000120,11.645355,0.000000
0.145920,4.989125,0.000105,11.647910,0.000000
0.146432,4.989125,0.000075,11.650465,0.000000
0.146944,4.989125,0.000040,11.653020,0.000000
0.147456,4.989125,0.000050,11.655575,0.000000
0.147968,4.989125,0.000070,11.658130,0.000000
0.148480,4.989125,0.000035,11.660685,0.000000
0.148992,4.989125,0.000000,11.663235,0.000000
0.149504,4.989125,-0.000010,11.665790,0.000000
0.150016,4.989125,-0.000005,11.668345,0.000000
0.150528,4.989125,-0.000010,11.670900,0.000000
0.151040,4.989125,-0.000015,11.673455,0.000000
0.151552,4.989125,0.000015,11.676010,0.000000
0.152064,4.989125,0.000040,11.678565,0.000000
0.152576,4.989125,0.000000,11.681120,0.000000
0.153088,4.989125,-0.000055,11.683675,0.000000
0.153600,4.989125,-0.000045,11.686225,0.000000
0.154112,4.989125,-0.000040,11.688780,0.000000
0.154624,4.989125,-0.000040,11.691335,0.000000
0.155136,4.989125,-0.000045,11.693890,0.000000
0.155648,4.989125,-0.000050,11.696445,0.000000
0.156160,4.989125,-0.000060,11.699000,0.000000
0.156672,4.989125,-0.000095,11.701555,0.000000
0.157184,4.989125,-0.000085,11.704110,0.000000
0.157696,4.989125,-0.000070,11.706665,0.000000
0.158208,4.989125,-0.000055,11.709215,0.000000
0.158720,4.989125,-0.000065,11.711770,0.000000
0.159232,4.989125,-0.000060,11.714325,0.000000
0.159744,4.989125,-0.000025,11.716880,0.000000
0.160256,4.989125,-0.000040,11.719435,0.000000
0.160768,4.989125,-0.000050,11.721990,0.000000
0.161280,4.989125,-0.000030,11.724545,0.000000
0.161792,4.989125,-0.000025,11.727100,0.000000
0.162304,4.989125,-0.000025,11.729655,0.000000
0.162816,4.989125,-0.000035,11.732205,0.000000
0.163328,4.989125,-0.000010,11.734760,0.000000
0.163840,4.989125,0.000020,11.737315,0.000000
0.164352,4.989125,0.000010,11.739870,0.000000
0.164864,4.989125,-0.000020,11.742425,0.000000
0.165376,4.989125,-0.000010,11.744980,0.000000
0.165888,4.989125,0.000005,11.747535,0.000000
0.166400,4.989125,0.000015,11.750090,0.000000
0.166912,4.989125,0.000020,11.752645,0.000000
0.167424,4.989125,0.000055,11.755195,0.000000
0.167936,4.989125,0.000100,11.757750,0.000000
0.168448,4.989125,0.000095,11.760305,0.000000
0.168960,4.989125,0.000045,11.762860,0.000000
0.169472,4.989125,0.000070,11.765415,0.000000
0.169984,4.989125,0.000095,11.767970,0.000000
0.170496,4.989125,0.000105,11.770525,0.000000
0.171008,4.989125,0.000125,11.773080,0.000000
0.171520,4.989125,0.000100,11.775630,0.000000
0.172032,4.989125,0.000120,11.778185,0.000000
0.172544,4.989125,0.000090,11.780740,0.000000
0.173056,4.989125,0.000075,11.783295,0.000000
0.173568,4.989125,0.000110,11.785850,0.000000
0.174080,4.989125,0.000130,11.788405,0.000000
0.174592,4.989125,0.000105,11.790960,0.000000
0.175104,4.989125,0.000110,11.793515,0.000000
0.175616,4.989125,0.000105,11.796070,0.000000
0.176128,4.989125,0.000110,11.798620,0.000000
0.176640,4.989125,0.000085,11.801175,0.000000
0.177152,4.989125,0.000075,11.803730,0.000000
0.177664,4.989125,0.000075,11.806285,0.000000
0.178176,4.989125,0.000080,11.808840,0.000000
0.178688,4.989125,0.000055,11.811395,0.000000
0.179200,4.989125,0.000050,11.813950,0.000000
0.179712,4.989125,0.000060,11.816505,0.000000
0.180224,4.989125,0.000055,11.819060,0.000000
0.180736,4.989125,0.000015,11.821610,0.000000
0.181248,4.989125,-0.000005,11.824165,0.000000
0.181760,4.989125,-0.000005,11.826720,0.000000
0.182272,4.989125,-0.000010,11.829275,0.000000
0.182784,4.989125,-0.000025,11.831830,0.000000
0.183296,4.989125,-0.000020,11.834385,0.000000
0.183808,4.989125,0.000000,11.836940,0.000000
0.184320,4.989125,0.000005,11.839495,0.000000
0.184832,4.989125,-0.000070,11.842050,0.000000
0.185344,4.989125,-0.000080,11.844600,0.000000
0.185856,4.989125,-0.000090,11.847155,0.000000
0.186368,4.989125,-0.000100,11.849710,0.000000
0.186880,4.989125,-0.000095,11.852265,0.000000
0.187392,4.989125,-0.000135,11.854820,0.000000
0.187904,4.989125,-0.000130,11.857375,0.000000
0.188416,4.989125,-0.000175,11.859930,0.000000
0.188928,4.989125,-0.000225,11.862485,0.000000
0.189440,4.989125,-0.000225,11.865040,0.000000
0.189952,4.989125,-0.000230,11.867590,0.000000
0.190464,4.989125,-0.000255,11.870145,0.000000
0.190976,4.989125,-0.000280,11.872700,0.000000
0.191488,4.989125,-0.000290,11.875255,0.000000
0.192000,4.989125,-0.000295,11.877810,0.000000
0.192512,4.989125,-0.000330,11.880365,0.000000
0.193024,4.989125,-0.000350,11.882920,0.000000
0.193536,4.989125,-0.000360,11.885475,0.000000
0.194048,4.989125,-0.000360,11.888025,0.000000
0.194560,4.989125,-0.000390,11.890580,0.000000
0.195072,4.989125,-0.000400,11.893135,0.000000
0.195584,4.989125,-0.000380,11.895690,0.000000
0.196096,4.989125,-0.000375,11.898245,0.000000
0.196608,4.989125,-0.000410,11.900800,0.000000
0.197120,4.989125,-0.000420,11.903355,0.000000
0.197632,4.989125,-0.000420,11.905910,0.000000
0.198144,4.989125,-0.000425,11.908465,0.000000
0.198656,4.989125,-0.000420,11.911015,0.000000
0.199168,4.989125,-0.000390,11.913570,0.000000
0.199680,4.989125,-0.000360,11.916125,0.000000
0.200192,4.989125,-0.000320,11.918680,0.000000
0.200704,4.987851,-0.000355,11.921235,-8.003553
0.201216,4.980487,-0.000365,11.923785,-20.809239
0.201728,4.966570,-0.000335,11.926335,-33.585820
0.202240,4.946101,-0.000320,11.928870,-46.391506
0.202752,4.919076,-0.000275,11.931400,-59.197191
0.203264,4.885499,-0.000250,11.933910,-72.002877
0.203776,4.845367,-0.000215,11.936400,-84.808562
0.204288,4.798684,-0.000190,11.938870,-97.585144
0.204800,4.745445,-0.000195,11.941310,-110.390829
