Period (s),ActualVelocity (mm/s)
0.321536,0.000000
0.322048,0.000000
0.322560,0.097656
0.323072,0.000000
0.323584,0.000000
0.324096,0.000000
0.324608,0.000000
0.325120,0.000000
0.325632,0.000000
0.326144,0.000000
0.326656,0.000000
0.327168,0.000000
0.327680,0.000000
0.328192,0.000000
0.328704,0.000000
0.329216,0.000000
0.329728,0.000000
0.330240,0.000000
0.330752,0.097656
0.331264,0.000000
0.331776,0.097656
0.332288,0.000000
0.332800,0.097656
0.333312,0.000000
0.333824,0.000000
0.334336,0.000000
0.334848,0.000000
0.335360,0.000000
0.335872,0.000000
0.336384,0.097656
0.336896,0.000000
0.337408,0.000000
0.337920,0.000000
0.338432,0.000000
0.338944,0.000000
0.339456,0.000000
0.339968,0.000000
0.340480,0.000000
0.340992,0.000000
0.341504,0.000000
0.342016,0.000000
0.342528,0.000000
0.343040,0.000000
0.343552,0.000000
0.344064,0.000000
0.344576,0.000000
0.345088,0.000000
0.345600,0.000000
0.346112,0.000000
0.346624,0.000000
0.347136,0.000000
0.347648,0.000000
0.348160,0.000000
0.348672,0.000000
0.349184,-0.097656
0.349696,0.000000
0.350208,-0.097656
0.350720,0.000000
0.351232,0.000000
0.351744,0.000000
0.352256,0.000000
0.352768,0.000000
0.353280,-0.097656
0.353792,0.000000
0.354304,0.000000
0.354816,0.000000
0.355328,0.000000
0.355840,0.000000
0.356352,0.000000
0.356864,-0.097656
0.357376,0.000000
0.357888,0.000000
0.358400,0.000000
0.358912,0.000000
0.359424,0.000000
0.359936,0.000000
0.360448,0.000000
0.360960,0.000000
0.361472,0.000000
0.361984,0.000000
0.362496,0.000000
0.363008,0.097656
0.363520,0.000000
0.364032,0.000000
0.364544,0.000000
0.365056,0.000000
0.365568,0.000000
0.366080,0.000000
0.366592,0.000000
0.367104,0.000000
0.367616,0.097656
0.368128,0.000000
0.368640,0.000000
0.369152,0.000000
0.369664,0.000000
0.370176,0.000000
0.370688,0.000000
0.371200,0.000000
0.371712,0.000000
0.372224,0.000000
0.372736,0.000000
0.373248,0.000000
0.373760,0.000000
0.374272,0.000000
0.374784,0.000000
0.375296,0.000000
0.375808,0.000000
0.376320,0.000000
0.376832,0.000000
0.377344,0.000000
