Period (s),ActualPosition (mm),Gate,Trigger
0.082125,12.330135,0,0
0.082330,12.331150,0,0
0.082534,12.332170,0,0
0.082739,12.333190,0,0
0.082944,12.334220,0,0
0.083149,12.335240,0,0
0.083354,12.336250,0,0
0.083558,12.337255,0,0
0.083763,12.338290,0,0
0.083968,12.339325,0,0
0.084173,12.340355,0,0
0.084378,12.341380,0,0
0.084582,12.342400,0,0
0.084787,12.343415,0,0
0.084992,12.344420,0,0
0.085197,12.345425,0,0
0.085402,12.346430,0,0
0.085606,12.347440,0,0
0.085811,12.348450,0,0
0.086016,12.349470,0,0
0.086221,12.350490,0,0
0.086426,12.351510,0,0
0.086630,12.352515,0,0
0.086835,12.353530,0,0
0.087040,12.354535,0,0
0.087245,12.355535,0,0
0.087450,12.356525,0,0
0.087654,12.357525,0,0
0.087859,12.358550,0,0
0.088064,12.359575,0,0
0.088269,12.360590,0,0
0.088474,12.361595,0,0
0.088678,12.362605,0,0
0.088883,12.363605,0,0
0.089088,12.364605,0,0
0.089293,12.365620,0,0
0.089498,12.366630,0,0
0.089702,12.367620,0,0
0.089907,12.368620,0,0
0.090112,12.369650,0,0
0.090317,12.370655,0,0
0.090522,12.371655,0,0
0.090726,12.372670,0,0
0.090931,12.373660,0,0
0.091136,12.374655,0,0
0.091341,12.375650,0,0
0.091546,12.376645,0,0
0.091750,12.377635,0,0
0.091955,12.378635,0,0
0.092160,12.379640,0,0
0.092365,12.380650,0,0
0.092570,12.381675,0,0
0.092774,12.382680,0,0
0.092979,12.383675,0,0
0.093184,12.384685,0,0
0.093389,12.385675,0,0
0.093594,12.386680,0,0
0.093798,12.387685,0,0
0.094003,12.388685,0,0
0.094208,12.389685,0,0
0.094413,12.390695,0,0
0.094618,12.391705,0,0
0.094822,12.392705,0,0
0.095027,12.393695,0,0
0.095232,12.394705,0,0
0.095437,12.395700,0,0
0.095642,12.396690,0,0
0.095846,12.397685,0,0
0.096051,12.398695,0,0
0.096256,12.399720,0,0
0.096461,12.400750,0,0
0.096666,12.401780,0,0
0.096870,12.402815,0,0
0.097075,12.403810,0,0
0.097280,12.404820,0,0
0.097485,12.405835,0,0
0.097690,12.406850,0,0
0.097894,12.407855,0,0
0.098099,12.408870,0,0
0.098304,12.409880,0,0
0.098509,12.410890,0,0
0.098714,12.411900,0,0
0.098918,12.412915,0,0
0.099123,12.413940,0,0
0.099328,12.414965,0,0
0.099533,12.415970,0,0
0.099738,12.416975,0,0
0.099942,12.418000,0,0
0.100147,12.419030,0,0
0.100352,12.420070,0,0
0.100557,12.421105,0,0
0.100762,12.422135,0,0
0.100966,12.423155,0,0
0.101171,12.424170,0,0
0.101376,12.425190,0,0
0.101581,12.426205,0,0
0.101786,12.427225,0,0
0.101990,12.428250,0,0
0.102195,12.429280,0,0
0.102400,12.430310,0,0
0.102605,12.431340,0,0
0.102810,12.432365,0,0
0.103014,12.433390,0,0
0.103219,12.434415,0,0
0.103424,12.435445,0,0
0.103629,12.436455,0,0
0.103834,12.437480,0,0
0.104038,12.438520,0,0
0.104243,12.439565,0,0
0.104448,12.440600,0,0
0.104653,12.441630,0,0
0.104858,12.442665,0,0
0.105062,12.443685,0,0
0.105267,12.444715,0,0
0.105472,12.445750,0,0
0.105677,12.446780,0,0
0.105882,12.447795,0,0
0.106086,12.448820,0,0
0.106291,12.449865,0,0
0.106496,12.450900,0,0
0.106701,12.451935,0,0
0.106906,12.452965,0,0
0.107110,12.453985,0,0
0.107315,12.455010,0,0
0.107520,12.456035,0,0
0.107725,12.457060,0,0
0.107930,12.458085,0,0
0.108134,12.459115,0,0
0.108339,12.460155,0,0
0.108544,12.461200,0,0
0.108749,12.462250,0,0
0.108954,12.463280,0,0
0.109158,12.464305,0,0
0.109363,12.465345,0,0
0.109568,12.466365,0,0
0.109773,12.467400,0,0
0.109978,12.468430,0,0
0.110182,12.469460,0,0
0.110387,12.470495,0,0
0.110592,12.471520,0,0
0.110797,12.472550,0,0
0.111002,12.473565,0,0
