Period (s),PositionError (mm),CommandedVelocity (mm/s),ActivityStatusRegister,PhasingInitialized,AtMaximumVelocity,Tracking,CurrentProfileMode,AxisSettled,MotorOn,PositionCapture,InMotion,InPositiveLimit,InNegativeLimit,ProfileSegment
0.143360,0.000010,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.143872,-0.000010,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.144384,-0.000040,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.144896,-0.000030,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.145408,-0.000015,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.145920,-0.000015,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.146432,-0.000075,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.146944,-0.000085,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.147456,-0.000090,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.147968,-0.000105,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.148480,-0.000085,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.148992,-0.000095,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.149504,-0.000080,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.150016,-0.000105,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.150528,-0.000135,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.151040,-0.000120,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.151552,-0.000110,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.152064,-0.000120,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.152576,-0.000135,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.153088,-0.000140,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.153600,-0.000120,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.154112,-0.000165,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.154624,-0.000180,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.155136,-0.000180,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.155648,-0.000185,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.156160,-0.000220,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.156672,-0.000230,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.157184,-0.000210,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.157696,-0.000200,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.158208,-0.000220,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.158720,-0.000240,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
