Period (s),CommandedVelocity (mm/s),PositionError (mm),PhaseAActualCurrent (mA)
0.120320,4.989125,0.000180,-92.872000
0.120832,4.989125,0.000130,-80.652000
0.121344,4.989125,0.000145,-84.318000
0.121856,4.989125,0.000145,-87.984000
0.122368,4.989125,0.000145,-92.872000
0.122880,4.989125,0.000170,-94.094000
0.123392,4.989125,0.000175,-87.984000
0.123904,4.989125,0.000215,-108.758000
0.124416,4.989125,0.000190,-94.094000
0.124928,4.989125,0.000175,-84.318000
0.125440,4.989125,0.000195,-96.538000
0.125952,4.989125,0.000210,-94.094000
0.126464,4.989125,0.000205,-96.538000
0.126976,4.989125,0.000230,-87.984000
0.127488,4.989125,0.000265,-90.428000
0.128000,4.989125,0.000300,-106.314000
0.128512,4.989125,0.000310,-94.094000
0.129024,4.989125,0.000325,-92.872000
0.129536,4.989125,0.000340,-96.538000
0.130048,4.989125,0.000370,-94.094000
0.130560,4.989125,0.000370,-102.648000
0.131072,4.989125,0.000390,-106.314000
0.131584,4.989125,0.000445,-112.424000
0.132096,4.989125,0.000485,-108.758000
0.132608,4.989125,0.000485,-106.314000
0.133120,4.989125,0.000485,-96.538000
0.133632,4.989125,0.000490,-102.648000
0.134144,4.989125,0.000500,-102.648000
0.134656,4.989125,0.000505,-106.314000
0.135168,4.989125,0.000535,-105.092000
0.135680,4.989125,0.000560,-108.758000
0.136192,4.989125,0.000600,-114.868000
0.136704,4.989125,0.000550,-102.648000
0.137216,4.989125,0.000505,-96.538000
0.137728,4.989125,0.000495,-105.092000
0.138240,4.989125,0.000475,-105.092000
0.138752,4.989125,0.000475,-106.314000
0.139264,4.989125,0.000455,-105.092000
0.139776,4.989125,0.000455,-106.314000
0.140288,4.989125,0.000420,-100.204000
0.140800,4.989125,0.000365,-98.982000
0.141312,4.989125,0.000330,-105.092000
0.141824,4.989125,0.000305,-96.538000
0.142336,4.989125,0.000260,-92.872000
0.142848,4.989125,0.000200,-84.318000
0.143360,4.989125,0.000175,-92.872000
0.143872,4.989125,0.000165,-94.094000
0.144384,4.989125,0.000090,-80.652000
0.144896,4.989125,0.000030,-84.318000
0.145408,4.989125,-0.000020,-80.652000
0.145920,4.989125,-0.000070,-80.652000
0.146432,4.989125,-0.000130,-84.318000
0.146944,4.989125,-0.000170,-74.542000
0.147456,4.989125,-0.000180,-80.652000
0.147968,4.989125,-0.000185,-80.652000
0.148480,4.989125,-0.000240,-84.318000
0.148992,4.989125,-0.000310,-68.432000
0.149504,4.989125,-0.000345,-75.764000
0.150016,4.989125,-0.000370,-74.542000
0.150528,4.989125,-0.000395,-72.098000
0.151040,4.989125,-0.000380,-74.542000
0.151552,4.989125,-0.000355,-81.874000
0.152064,4.989125,-0.000335,-81.874000
0.152576,4.989125,-0.000395,-68.432000
0.153088,4.989125,-0.000440,-63.544000
0.153600,4.989125,-0.000455,-75.764000
0.154112,4.989125,-0.000460,-74.542000
0.154624,4.989125,-0.000445,-72.098000
0.155136,4.989125,-0.000445,-78.208000
0.155648,4.989125,-0.000420,-72.098000
0.156160,4.989125,-0.000430,-78.208000
0.156672,4.989125,-0.000475,-68.432000
0.157184,4.989125,-0.000480,-68.432000
0.157696,4.989125,-0.000480,-72.098000
0.158208,4.989125,-0.000480,-74.542000
0.158720,4.989125,-0.000490,-74.542000
0.159232,4.989125,-0.000470,-74.542000
0.159744,4.989125,-0.000425,-75.764000
0.160256,4.989125,-0.000445,-72.098000
0.160768,4.989125,-0.000465,-72.098000
0.161280,4.989125,-0.000460,-72.098000
0.161792,4.989125,-0.000465,-69.654000
0.162304,4.989125,-0.000475,-72.098000
0.162816,4.989125,-0.000480,-68.432000
0.163328,4.989125,-0.000430,-78.208000
0.163840,4.989125,-0.000385,-84.318000
0.164352,4.989125,-0.000380,-72.098000
0.164864,4.989125,-0.000410,-65.988000
0.165376,4.989125,-0.000395,-68.432000
0.165888,4.989125,-0.000390,-75.764000
0.166400,4.989125,-0.000370,-72.098000
0.166912,4.989125,-0.000350,-72.098000
0.167424,4.989125,-0.000290,-78.208000
0.167936,4.989125,-0.000230,-80.652000
0.168448,4.989125,-0.000225,-81.874000
0.168960,4.989125,-0.000270,-65.988000
0.169472,4.989125,-0.000255,-78.208000
0.169984,4.989125,-0.000230,-80.652000
0.170496,4.989125,-0.000220,-75.764000
